Acceleration,Velocity,Orientation,Obstacle,GPS
"[-0.022342592, 0.0038477182, 0.010977745]","[253.98358, -11.374134, 1.8338851]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.0400805531571238e-06, 1.5532972585455725e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.0400805532145174e-06, 1.5532972585634612e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.0131185055, 0.017505527, 0.018891335]","[53.98312, -11.372623, 1.8336658]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.034467846, 0.048245907, 0.067004204]","[53.98364, -11.374169, 1.8344623]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.023305446, -0.018189669, 0.029891014]","[53.98737, -11.385543, 1.838894]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.013266295, -0.020392895, 0.006116867]","[54.0015, -11.440839, 1.8078917]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.06372231, -0.058701992, -0.14531994]","[54.0224, -11.516325, 1.7867383]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.040309936, 0.06215787, -0.19437885]","[54.0321, -11.553418, 1.768707]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.960197, 0.06925058, -0.8825054]","[54.05884, -11.645323, 1.6106099]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,,"[3.0400805532720195e-06, 1.5532972585813242e-06]"
"[1.8426698, 1.0223167, 0.8459873]","[54.44443, -11.924265, -0.65795976]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.40188646, -2.8348293, 0.5692806]","[2.50827, -10.781065, -16.893991]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.71412635, 4.525721, 5.2658806]","[68.927, -12.423063, -3.1179616]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.3936664, -0.46240616, -1.1831093]","[68.73203, -11.643656, -4.3731666]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.11617327, -0.1794802, -0.13612652]","[68.3562, -11.6588125, -5.8810673]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.06410158, -0.18410397, 0.03912735]","[68.47363, -11.677271, -5.2432127]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.08980277, -0.24086511, 0.0057029724]","[68.95657, -11.706718, -3.1014342]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
